stop_id_modified_from,stop_id_modified_to,time_modified,speed,number_of_trips,average_time
38881,38880,0.010833333,48.56197136,1,0.00638889
38880,34922,0.010833333,48.56197136,1,0.00527778
1241,38963,0.009166667,57.39141684,1,0.01527778
38963,38878,0.011388889,46.19309283,1,0.01333333
1235,38462,0.004444444,49.04889518,1,0.015
38462,38877,0.004444444,49.04889518,1,0.015
38808,38809,0.003888889,56.05587299,30,0.012546296
38809,39031,0.003888889,56.05587299,5,0.011388888
39031,39417,0.003888889,56.05587299,1,0.00972223
39417,38939,0.005,43.59901357,4,0.009930555
38939,38937,0.004166667,52.3188121,3,0.008333333
38937,38967,0.004166667,52.3188121,5,0.01111111
467,39187,0.003888889,56.05587299,10,0.011944445
39187,39005,0.003888889,56.05587299,19,0.013406433
39005,1946,0.004444444,49.04889518,14,0.007222223
1946,1714,0.004444444,49.04889518,6,0.011898147
1714,39003,0.004444444,49.04889518,8,0.015590279
39003,39044,0.004166667,52.3188121,12,0.013171296
39044,1720,0.004166667,52.3188121,12,0.011087963
1720,39004,0.005833333,37.3705852,9,0.010524691
39004,38934,0.003888889,56.05587299,7,0.009246031
38934,26212,0.0075,54.0883147,9,0.011358026
38751,35566,0.0075,54.0883147,2,0.01125
35566,34864,0.007222222,56.16863623,3,0.009166667
34864,32687,0.007222222,56.16863623,3,0.009444443
32687,34895,0.0075,54.0883147,2,0.0125
34895,33614,0.014444444,28.08431811,2,0.0125
33614,35843,0.0075,54.0883147,2,0.01
35843,36093,0.007777778,52.15658769,2,0.01277778
36093,32542,0.007777778,52.15658769,2,0.01222222
32542,32205,0.006944444,58.41538362,4,0.020972222
32205,34267,0.006944444,58.41538362,1,0.01083333
33237,34923,0.006944444,58.41538362,1,0.01083333
34923,35325,0.008888889,45.63701496,2,0.014583335
32673,3606,0.008888889,45.63701496,4,0.018680555
3606,39131,0.006666667,60.849351,14,0.017817461
39131,39132,0.008888889,45.63701496,9,0.009722222
39132,39133,0.007222222,56.16863623,9,0.008888889
39133,39134,0.010555556,43.52812778,12,0.005069444
38818,38819,0.011388889,40.34314413,12,0.004745371
38819,38820,0.011388889,40.34314413,5,0.007833332
38820,38821,0.011388889,40.34314413,19,0.01125731
38821,38822,0.009444444,48.64908833,18,0.014614198
38822,38823,0.011666667,39.38259234,17,0.013447712
38823,38824,0.01,45.94635904,18,0.011512346
38824,38825,0.01,45.94635904,20,0.010361111
38825,2212,0.01,45.94635904,15,0.010722223
2212,39271,0.01,45.94635904,3,0.010925923
39271,39570,0.01,45.94635904,7,0.011785714
39570,39537,0.009722222,47.25911323,4,0.018680558
39537,39485,0.009722222,47.25911323,8,0.014027777
39485,39663,0.009444444,48.64908833,13,0.018247863
38946,34944,0.010277778,44.70456458,1,0.02138889
