,time_sum
586,72.8241667
587,73.0091667
588,73.02722226
589,73.26194448
590,73.30138893
591,73.39250004
592,73.89194448
593,74.27805559
594,74.32722226
595,74.35944448
596,74.38583337
597,74.38777781
598,74.38944448
599,74.39083337
600,74.39277781
601,74.3941667
602,74.40750004
603,74.41138892
604,74.41361115
605,74.4241667
606,74.43222226
607,74.4391667
608,74.44472226
609,74.45027781
610,74.51333337
611,74.6566667
612,74.75777781
613,74.89833337
614,74.9316667
615,74.93888893
616,74.97944448
617,74.99638893
618,75.0191667
619,75.03111115
620,75.26638893
621,75.39805559
622,75.71194448
623,76.42833337
624,76.52500003
625,76.62944448
626,76.71305559
627,76.75055559
628,76.80888892
629,76.8566667
630,76.93944448
631,77.05833337
632,77.1466667
633,77.27388892
634,77.38027781
635,77.44194448
636,77.48611115
637,77.53277781
638,77.55333337
639,77.6741667
640,77.79111115
641,77.89138893
642,78.07138893
643,78.30055559
644,78.49277781
645,78.58972226
646,78.69194448
647,78.8141667
648,78.9066667
649,78.99944448
650,79.09722226
651,79.20916671
652,79.33194448
653,79.42000004
654,79.50166671
655,79.55916671
656,79.71361115
657,79.83833337
658,79.98083337
659,80.10611115
660,80.15861115
661,80.24833337
662,80.34444448
663,80.43638893
664,80.69027782
665,81.07000004
666,81.47861115
667,82.04388893
668,82.10500004
669,82.14500004
670,82.21666671
671,82.44888893
672,82.52166671
673,82.65750004
674,82.78888893
675,82.88388893
676,83.08861115
677,83.33861115
678,83.39138893
679,83.71888893
680,83.95166671
681,84.1730556
682,84.31777782
683,84.43444448
684,84.50472226
685,84.56694448
686,84.64083337
687,84.67583337
688,84.71694448
689,84.74750004
690,84.81333337
691,84.99638893
692,85.01333337
693,85.04861115
694,85.08250004
695,85.16750004
696,85.2166667
697,85.27861115
698,85.37638892
699,85.57888892
700,85.73277781
701,85.94388892
702,86.05777781
703,86.11388892
704,86.40694448
705,86.6916667
706,86.71833337
707,86.7291667
708,86.77083337
709,86.80055559
710,86.8116667
711,86.83527781
712,86.86527781
713,86.89083337
714,86.90444448
715,86.91805559
716,86.92555559
717,86.95222225
718,86.97222225
719,86.99222225
720,87.01694448
721,87.03694448
722,87.05472225
723,87.06611114
724,87.07750003
725,87.12527781
726,87.21694448
727,87.28055559
728,87.34333337
729,87.35888892
730,87.37583337
731,87.39861115
732,87.41250003
733,87.42055559
734,87.4366667
735,87.45222226
736,87.47361115
737,87.48638892
738,87.52444448
739,87.57555559
740,87.73750004
741,87.83194448
742,87.96722226
743,88.09972226
744,88.22388892
745,88.26583337
746,88.33611114
747,88.36555559
748,88.41277781
749,88.45027781
750,88.48277781
751,88.50777781
752,88.52055559
753,88.61555559
754,89.12944448
755,89.55805559
756,90.15361114
757,90.56638892
758,90.6966667
759,90.93138892
760,90.99472225
761,91.04972225
762,91.08972225
763,91.13277781
764,91.14805559
765,91.1816667
766,91.24333337
767,91.28000003
768,91.32222225
769,91.36333337
770,91.40861114
771,91.46083337
772,91.50583336
773,91.76305559
774,91.84805559
775,92.08500003
776,92.16361114
777,92.34722225
778,92.52972225
779,92.85805559
780,93.60138892
781,93.80250003
782,93.92361114
783,94.01361114
784,94.09888892
785,94.26055558
786,94.30805558
787,94.36222225
788,94.38888892
789,94.41138892
790,94.47500003
791,94.6366667
792,94.87472226
793,95.19083337
794,95.34250004
795,95.39472226
796,95.63500004
797,95.99111115
798,96.34694448
799,96.60694448
800,96.68500004
801,96.74055559
802,96.75500004
803,96.9266667
804,97.08055559
805,97.28333337
806,97.5616667
807,97.68305559
808,98.0641667
809,98.22194448
810,98.24333337
811,98.28250004
812,98.30750004
813,98.34750004
814,98.37611115
815,98.39833337
816,98.49194448
817,98.63833337
818,98.70388892
819,98.73500003
820,98.84250003
821,98.93250003
822,98.98777781
823,99.0391667
824,99.19388892
825,99.31638892
826,99.47944448
827,99.56527781
828,99.81944448
829,99.94861114
830,100.0272223
831,100.1127778
832,100.5361111
833,100.6886111
834,100.7691667
835,101.1225
836,101.4105556
837,101.5075
838,101.5313889
839,101.5541667
840,101.7502778
841,101.8852778
842,102.0113889
843,102.1433334
844,102.3205556
845,102.4058334
846,102.4916667
847,102.5716667
848,102.925
849,103.4111111
850,103.7513889
851,103.8380556
852,103.9280556
853,104.0269445
854,104.0344445
855,104.0611111
856,104.0811111
857,104.1011111
858,104.1258334
859,104.1458334
860,104.1636111
861,104.175
862,104.1863889
863,104.2136111
864,104.2225
865,104.255
866,104.2766667
867,104.3033334
868,104.3258334
869,104.3436111
870,104.3722223
871,104.4161111
872,104.4522223
873,104.4597223
874,104.4677778
875,104.4758334
876,104.4847223
877,104.4994445
878,104.5075
879,104.5147223
880,104.5213889
881,104.5294445
882,104.5363889
883,104.5455556
884,104.5511112
885,104.5611112
886,104.5736112
887,104.5825
888,104.59
889,104.5952778
890,104.6077778
891,104.6202778
892,104.6583334
893,104.7508334
894,104.7686112
895,104.8127778
896,104.8233334
897,104.8733334
898,104.8830556
899,104.9080556
900,104.9313889
901,104.9488889
902,104.9838889
903,105.0938889
904,105.2330556
905,105.2416667
906,105.27
907,105.3075
908,105.3469445
909,105.36
910,105.3661111
911,105.3722223
912,105.3830556
913,105.3972223
914,105.4316667
915,105.4463889
916,105.5469445
917,105.5741667
918,105.5869445
919,105.6333334
920,105.6561112
921,105.7005556
922,105.7080556
923,105.7175
924,105.7808334
925,105.8816667
926,106.0494445
927,106.2066667
928,106.3444445
929,106.5172223
930,106.6288889
931,106.6430556
932,106.6608334
933,106.7561112
934,106.7877778
935,106.805
936,106.9097223
937,107.1008334
938,107.2863889
939,107.4991667
940,107.7230556
941,107.9458334
942,108.1669445
943,108.3125
944,108.4588889
945,108.6736112
946,108.7908334
947,108.9452778
948,108.9780556
949,109.2766667
950,109.5711112
951,109.8494445
952,109.8772223
953,110.0930556
954,110.1136112
955,110.1686112
956,110.2236112
957,110.2633334
958,110.3016667
959,110.3627778
960,110.3713889
961,110.3997223
962,110.4372223
963,110.4766667
964,110.4830556
965,110.4922223
966,110.5047223
967,110.5116667
968,110.5191667
969,110.5252778
970,110.5686112
971,110.5813889
972,110.5936112
973,110.6044445
974,110.6172223
975,110.7188889
976,110.8075
977,111.1727778
978,111.3716667
979,111.3819445
980,111.5911112
981,111.8755556
982,112.1011112
983,112.2950001
984,112.5908334
985,112.6094445
986,112.6425001
987,112.6736112
988,112.7375001
989,112.7763889
990,113.2411112
991,113.6172223
992,113.8913889
993,114.1636112
994,114.4888889
995,115.0611112
996,115.4225001
997,115.5597223
998,139.7172223
999,167.3466667
1000,167.3727778
1001,167.4358334
1002,167.4641667
1003,167.4833334
1004,167.5230556
1005,167.5886112
1006,167.6841667
1007,168.0002778
1008,168.0302778
1009,168.0575001
1010,168.1061112
1011,168.1622223
1012,168.2091667
1013,168.2447223
1014,168.2830556
1015,168.3338889
1016,168.3575001
1017,168.3694445
1018,168.3972223
1019,168.4211112
1020,168.4436112
1021,168.4613889
1022,168.4791667
1023,168.4941667
1024,168.5127778
1025,168.5305556
1026,168.6013889
1027,168.8069445
1028,168.8500001
1029,168.8730556
1030,168.9105556
1031,168.9522223
1032,168.9880556
1033,169.0675001
1034,169.3402778
1035,169.5016667
1036,169.6391667
1037,169.7372223
1038,169.8613889
1039,169.9905556
1040,170.0769445
1041,170.1936112
1042,170.3338889
1043,170.4750001
1044,170.5477778
1045,170.6230556
1046,170.6691667
1047,170.7097223
1048,170.8113889
1049,170.9361112
1050,171.1347223
1051,171.2563889
1052,171.4516667
1053,171.6197223
1054,171.7344445
1055,171.8919445
1056,172.1272223
1057,172.133889
1058,172.216389
1059,172.2502778
1060,172.2775001
1061,172.3008334
1062,172.3316667
1063,172.3608334
1064,172.3791667
1065,172.4133334
1066,172.4216667
1067,172.5747223
1068,172.6297223
1069,172.6700001
1070,172.7111112
1071,172.7952778
1072,172.8408334
1073,172.8622223
1074,172.9122223
1075,172.9777778
1076,173.0308334
1077,173.0641667
1078,173.1036112
1079,173.1188889
1080,173.1655556
1081,173.2419445
1082,173.3169445
1083,173.3544445
1084,173.3877778
1085,173.4325001
1086,173.5266667
1087,173.6250001
1088,173.6888889
1089,173.7327778
1090,173.7455556
1091,173.7616667
1092,173.7777778
1093,173.8025001
1094,173.8341667
1095,173.8836112
1096,173.9355556
1097,173.9652778
1098,174.0866667
1099,174.4102778
1100,174.5719445
1101,174.7425001
1102,174.8669445
1103,174.8672223
1104,174.9044445
1105,175.0272223
1106,175.0780556
1107,175.1361112
1108,175.2127778
1109,175.2283334
1110,175.2466667
1111,175.2633334
1112,175.2800001
1113,175.3111112
1114,175.3358334
1115,175.3616667
1116,175.3819445
1117,175.4000001
1118,175.5344445
1119,175.5486112
1120,175.5650001
1121,175.581389
1122,175.5922223
1123,175.6050001
1124,175.6200001
1125,175.6308334
1126,175.6391667
1127,175.651389
1128,175.6927778
1129,175.7030556
1130,175.7150001
1131,175.7250001
1132,175.7350001
1133,175.7433334
1134,175.7511112
1135,175.7866667
1136,175.8008334
1137,175.8291667
1138,175.8683334
1139,176.0533334
1140,176.203889
1141,176.3280556
1142,176.3402778
1143,176.3691667
1144,176.3997223
1145,176.4100001
1146,176.418889
1147,176.4927778
1148,176.5033334
1149,176.5255556
1150,176.5402778
1151,176.5591667
1152,176.5766667
1153,176.6097223
1154,176.6477778
1155,176.6833334
1156,176.698889
1157,176.7130556
1158,176.8386112
1159,176.9083334
1160,177.143889
1161,177.1566667
1162,177.3747223
1163,177.4227778
1164,177.4436112
1165,177.4830556
1166,177.5175001
1167,177.5352778
1168,177.5508334
1169,177.5705556
1170,177.5902778
1171,177.6055556
1172,177.6227778
1173,177.6522223
1174,177.6997223
1175,177.7286112
1176,177.7441667
1177,177.758889
1178,177.7747223
1179,177.7891667
1180,177.8036112
1181,177.8161112
1182,177.8411112
1183,177.8630556
1184,177.8744445
1185,177.9083334
1186,177.9311112
1187,177.9780556
1188,178.0133334
1189,178.0391667
1190,178.0627778
1191,178.0852778
1192,178.146389
1193,178.1855556
1194,178.2644445
1195,178.3672223
1196,178.4619445
1197,178.6086112
1198,178.6919445
1199,178.748889
1200,178.8825001
1201,179.0575001
1202,179.2902778
1203,179.4741667
1204,179.656389
1205,179.7686112
1206,179.7908334
1207,179.8036112
1208,179.811389
1209,179.8205556
1210,179.8244445
1211,179.8283334
1212,179.8375001
1213,179.8433334
1214,179.8480556
1215,179.8800001
1216,179.9441667
1217,179.9625001
1218,179.9930556
1219,180.0097223
1220,180.1727778
1221,180.2391667
1222,180.2861112
1223,180.3061112
1224,180.3622223
1225,180.3861112
1226,180.4113889
1227,180.4408334
1228,180.5080556
1229,180.5716667
1230,180.5891667
1231,180.6077778
1232,180.6250001
1233,180.6977778
1234,180.7233334
1235,180.7450001
1236,180.7908334
1237,180.7986112
1238,180.8047223
1239,180.8344445
1240,180.8844445
1241,180.9586112
1242,181.0338889
1243,181.0969445
1244,181.1352778
1245,181.2266667
1246,181.2911112
1247,181.3800001
1248,181.4500001
1249,181.4666667
1250,181.4847223
1251,181.5144445
1252,181.5286112
1253,181.6427778
1254,181.6950001
1255,181.7386112
1256,181.7666667
1257,181.7741667
1258,181.8022223
1259,181.8091667
1260,181.8161112
1261,181.8483334
1262,181.8936112
1263,181.9422223
1264,181.9905556
1265,182.0777778
1266,182.1838889
1267,182.3202778
1268,182.4169445
1269,182.4622223
1270,182.4833334
1271,182.5783334
1272,182.5891667
1273,182.6044445
1274,182.6958334
1275,182.7344445
1276,182.7750001
1277,182.8344445
1278,182.8511112
1279,183.1008334
1280,183.2019445
1281,183.3377778
1282,183.4408334
1283,183.5147223
1284,183.6011112
1285,183.6288889
1286,183.7258334
1287,183.8733334
1288,184.0386112
1289,184.1838889
1290,184.3705556
1291,184.5950001
1292,184.7547223
1293,184.7825001
1294,184.8250001
1295,184.8708334
1296,184.8969445
1297,185.0069445
1298,185.0691667
1299,185.1394445
1300,185.1997223
1301,185.2836112
1302,185.3244445
1303,185.3877778
1304,185.4422223
1305,185.4622223
1306,185.4811112
1307,185.5036112
1308,185.5455556
1309,185.5655556
1310,185.7238889
1311,185.7919445
1312,185.7991667
1313,185.8161112
1314,185.8844445
1315,185.9855556
1316,186.1213889
1317,186.1677778
1318,186.2200001
1319,186.2769445
1320,186.3663889
1321,186.4355556
1322,186.5102778
1323,186.5291667
1324,186.5886112
1325,186.6616667
1326,186.6738889
1327,186.7094445
1328,186.7447223
1329,186.7563889
1330,186.7658334
1331,186.7811112
1332,186.8205556
1333,186.8297223
1334,186.8513889
1335,186.8594445
1336,186.8913889
1337,186.9130556
1338,186.9263889
1339,186.9361112
1340,186.9461112
1341,186.9561112
1342,186.9797223
1343,186.9936112
1344,187.0197223
1345,187.0513889
1346,187.0705556
1347,187.0847223
1348,187.1091667
1349,187.1236112
1350,187.1366667
1351,187.1488889
1352,187.1594445
1353,187.1766667
1354,187.3227778
1355,187.3994445
1356,187.5091667
1357,187.5841667
1358,187.5925001
1359,187.6827778
1360,187.6983334
1361,187.7105556
1362,187.7227778
1363,187.7397223
1364,187.7683334
1365,187.9300001
1366,188.1480556
1367,188.2388889
1368,188.2980556
1369,188.3311112
1370,188.3869445
1371,188.4472223
1372,188.4969445
1373,188.5369445
1374,188.6086112
1375,188.7072223
1376,188.8130556
1377,188.8552778
1378,188.8919445
1379,188.9286112
1380,188.9936112
1381,189.0172223
1382,189.0694445
1383,189.1247223
1384,189.1577778
1385,189.2036112
1386,189.2258334
1387,189.2433334
1388,189.2600001
1389,189.2916667
1390,189.3388889
1391,189.3600001
1392,189.3836112
1393,189.4019445
1394,189.4205556
1395,189.4608334
1396,189.4805556
1397,189.4936112
1398,189.5019445
1399,189.5855556
1400,189.6377778
1401,189.7097223
1402,189.7452778
1403,189.7833334
1404,189.8205556
1405,189.8375001
1406,189.8758334
1407,189.9141667
1408,189.9358334
1409,189.9475001
1410,189.9591667
1411,189.9761112
1412,190.0019445
1413,190.0330556
1414,190.0783334
1415,190.1108334
1416,190.1644445
1417,190.2297223
1418,190.3222223
1419,190.3436112
1420,190.3827778
1421,190.4477778
1422,190.4986112
1423,190.5650001
1424,190.6194445
1425,190.6630556
1426,190.6919445
1427,190.7386112
1428,190.7744445
1429,190.7969445
1430,190.8069445
1431,190.8113889
1432,190.8441667
1433,190.8569445
1434,190.8738889
1435,190.8777778
1436,190.8816667
1437,190.8908334
1438,190.8966667
1439,190.9013889
1440,190.9200001
1441,190.9502778
1442,190.9741667
