,time_sum
224,24.53777778
225,24.56277778
226,24.58277778
227,24.60833334
228,24.63277778
229,24.71666667
230,24.7275
231,24.73833333
232,24.7675
233,24.84222222
234,25.09166667
235,25.17916667
236,25.25916667
237,25.32
238,25.37694445
239,25.41611111
240,25.63
241,25.89305556
242,26.12166667
243,26.32888889
244,26.53611111
245,26.69694445
246,26.72972222
247,26.81222222
248,26.88694445
249,26.99916667
250,27.23638889
251,27.25777778
252,27.27638889
253,27.36138889
254,27.50444444
255,27.62722222
256,27.75027778
257,27.76861111
258,27.94055555
259,28.32027777
260,28.4875
261,28.495
262,28.5025
263,28.65722222
264,28.7525
265,28.84055555
266,28.86444444
267,28.89861111
268,28.945
269,28.96055555
270,28.97416667
271,28.98777778
272,28.99777778
273,29.00805555
274,29.01722222
275,29.07444444
276,29.1275
277,29.17055555
278,29.215
279,29.26083333
280,29.29
281,29.32055556
282,29.3275
283,29.33472222
284,29.39611111
285,29.44166667
286,29.47944445
287,29.495
288,29.50222222
289,29.59166667
290,29.75277778
291,29.86472222
292,29.99138889
293,30.07305556
294,30.15944444
295,30.29194444
296,30.29361111
297,30.30583333
298,30.31027778
299,30.31361111
300,30.34861111
301,30.38194444
302,30.42194444
303,30.54305555
304,30.60361111
305,30.62055555
306,30.67527777
307,30.73444444
308,30.77638888
309,30.82222222
310,30.83333333
311,30.86944444
312,30.88916666
313,30.94861111
314,30.95611111
315,30.98416666
316,31.00972222
317,31.03305555
318,31.11916666
319,31.17416666
320,31.1761111
321,31.17833333
322,31.18027777
323,31.18222221
324,31.18444444
325,31.18722221
326,31.1936111
327,31.19972221
328,31.20583332
329,31.21333332
330,31.22194444
331,31.23694444
332,31.2536111
333,31.28638888
334,31.31388888
335,31.32499999
336,31.35333333
337,31.37555555
338,31.38777777
339,31.39999999
340,31.41527777
341,31.53749999
342,31.83083332
343,32.18972221
344,32.45638888
345,32.96499999
346,33.42138888
347,33.48472221
348,33.5311111
349,33.58694443
350,33.70472221
351,33.76888888
352,33.8311111
353,33.88249999
354,33.93999999
355,33.97944444
356,34.02138888
357,34.04249999
358,34.06138888
359,34.21666666
360,34.3911111
361,34.59055555
362,58.19222222
363,58.27
364,58.33333333
365,58.42055555
366,58.46805555
367,58.54333333
368,58.56694444
369,58.76638888
370,58.86805555
371,58.91972221
372,58.96777777
373,59.03027777
374,59.15555554
375,59.21972221
376,59.6736111
377,59.72083332
378,59.76222221
379,59.80583332
380,60.31305555
381,60.74499999
382,61.3036111
383,61.35333332
384,61.58277777
385,61.83444444
386,61.9036111
387,62.04194444
388,62.1336111
389,62.14583332
390,62.16055555
391,62.17333332
392,62.18666666
393,62.19277777
394,62.19972221
395,62.20666666
396,62.21055555
397,62.22194443
398,62.23027777
399,62.23777777
400,62.24638888
401,62.26416666
