stop_id_modified_from,stop_id_modified_to,time,speed,number_of_trips
37790,37479,0.006944444,49.74718569,12
37479,37319,0.006111111,56.53089024,13
37549,37376,0.006111111,56.53089024,8
1301,39599,0.006111111,56.53089024,4
39599,37821,0.006111111,56.53089024,5
37821,36006,0.0075,46.06220603,2
36006,33611,0.007222222,47.83383081,2
38898,475,0.006666667,51.81997919,6
475,38779,0.006666667,51.81997919,6
38779,39589,0.007222222,47.83383081,7
38785,33621,0.006666667,51.81997919,5
33621,39774,0.006666667,51.81997919,2
39774,31966,0.007222222,47.83383081,4
31966,33539,0.009444444,55.70343864,4
33539,32092,0.011388889,46.19309283,4
32092,35356,0.01,52.60880069,4
35356,33229,0.010555556,49.83991434,1
33229,33126,0.010555556,49.83991434,3
33126,33273,0.008333333,63.13056335,3
32263,34991,0.009166667,57.39141684,2
34991,34994,0.009166667,57.39141684,3
34994,34791,0.009722222,54.11191051,2
34791,34840,0.009722222,54.11191051,2
39182,38782,0.010555556,49.83991434,1
1244,1241,0.01,52.60880069,1
34942,37241,0.009166667,57.39141684,2
39419,37641,0.009166667,57.39141684,9
37641,37985,0.01,52.60880069,10
37319,39413,0.010277778,51.1869401,10
39413,37549,0.010277778,51.1869401,7
37376,1199,0.009166667,57.39141684,3
1199,37831,0.003888889,56.05587299,3
37831,1301,0.004444444,49.04889518,3
37821,39600,0.004166667,52.3188121,5
39600,1190,0.002777778,78.47821815,6
1190,1188,0.003888889,56.05587299,6
1188,1303,0.005,43.59901357,6
38909,34462,0.003333333,65.3985269,1
34462,32878,0.003333333,65.3985269,1
32878,35682,0.004444444,49.04889518,1
35682,31402,0.004444444,49.04889518,1
38955,38956,0.004166667,52.3188121,1
40509,31575,0.005,43.59901357,1
31575,32433,0.004444444,49.04889518,1
38775,38881,0.004444444,49.04889518,1
38881,38880,0.005,43.59901357,1
38880,34922,0.004444444,49.04889518,2
1241,38963,0.004444444,49.04889518,1
38963,38878,0.003611111,60.36786681,1
38878,1235,0.008888889,45.63701496,1
1235,38462,0.010277778,39.46985041,1
38462,38877,0.006666667,60.849351,1
38877,39358,0.01,40.56623603,3
39358,33753,0.008333333,48.67948518,1
33753,34163,0.011388889,35.61913372,1
35666,35503,0.010555556,38.43116935,1
35503,33459,0.0075,54.0883147,1
38965,38935,0.0075,54.0883147,1
38935,39085,0.009444444,42.95248722,1
39085,38936,0.006944444,58.41538362,1
38808,38809,0.008333333,48.67948518,27
38809,39031,0.008333333,48.67948518,6
39031,39417,0.006944444,58.41538362,1
39417,38939,0.009722222,41.72527229,2
38939,38937,0.009722222,41.72527229,3
467,39187,0.007777778,52.15658769,13
39187,39005,0.0125,36.75708723,21
39005,1946,0.021111111,21.76406492,19
1946,1714,0.013333333,34.45977014,6
1714,39003,0.019166667,23.97201299,7
39003,39044,0.025555556,17.97900975,11
39044,1720,0.010277778,44.70456458,12
1720,39004,0.029444444,15.60442406,9
39004,38934,0.019166667,23.97201299,6
38934,26212,0.019166667,23.97201299,5
38751,35566,0.024722222,18.58504427,1
35566,34864,0.024722222,18.58504427,2
34864,32687,0.021111111,21.76406492,2
32687,34895,0.0175,26.25506231,2
34895,33614,0.013333333,34.45977014,3
33614,35843,0.013333333,34.45977014,3
35843,36093,0.0175,26.25506231,3
36093,32542,0.001111111,413.5172727,3
32542,32205,0.023888889,19.23335951,4
33237,34923,0.023888889,19.23335951,2
34923,35325,0.014166667,32.43272326,4
32673,3606,0.008055556,36.07131991,4
3606,39131,0.008333333,34.8689459,16
39131,39132,0.007777778,37.35958233,11
39132,39133,0.0075,38.74327167,11
39133,39134,0.0075,38.74327167,13
39134,39314,0.007777778,37.35958233,2
39314,38818,0.006944444,41.84273608,1
38818,38819,0.006666667,43.58617845,9
38819,38820,0.006388889,45.48123117,5
38820,38821,0.0125,23.245963,19
38821,38822,0.006666667,43.58617845,20
38822,38823,0.006666667,43.58617845,18
38823,38824,0.006944444,41.84273608,16
38824,38825,0.006944444,41.84273608,19
38825,2212,0.008611111,33.74414028,15
2212,39271,0.009444444,30.76671719,8
39271,39570,0.006666667,43.58617845,11
39570,39537,0.006666667,43.58617845,6
39537,39485,0.0075,38.74327167,15
39485,39663,0.007222222,40.23339874,17
39663,1075,0.007777778,37.35958233,1
38946,34944,0.007777778,37.35958233,2
34944,39425,0.011388889,25.51386158,2
39425,38890,0.028055556,33.8096273,5
38890,33858,0.023055556,41.14183549,6
33858,39712,0.023055556,41.14183549,7
39589,39204,0.023055556,41.14183549,16
39204,36157,0.025,37.94191569,3
38807,38808,0.022777778,41.64356559,25
38809,38810,0.023888889,39.70665577,18
38810,39273,0.023888889,39.70665577,8
39273,35423,0.024166667,39.25025707,11
38785,35020,0.015555556,41.192814,1
32360,32492,0.015833333,40.47013506,1
32492,32453,0.0175,36.61583571,1
32453,31831,0.014722222,43.52448461,1
31831,39902,0.015277778,41.94177484,1
39902,33141,0.015277778,41.94177484,2
33141,31887,0.015277778,41.94177484,9
31887,34306,0.014444444,44.36149463,7
34306,39614,0.015555556,41.192814,5
39614,33759,0.015,42.71847499,1
33759,39144,0.016111111,41.52280154,1
39144,38908,0.018333333,36.4897351,4
38908,35638,0.016666667,40.13870708,1
35638,33477,0.013055556,51.24090193,1
33477,32174,0.014722222,45.44004734,1
32174,38909,0.014722222,45.44004734,1
32092,33227,0.018055556,37.05111405,1
33227,35315,0.016111111,41.52280154,1
35315,35650,0.015277778,43.78768068,3
35650,31518,0.015277778,43.78768068,4
31518,35303,0.016111111,41.52280154,4
35303,35331,0.016111111,41.52280154,3
35331,35635,0.015833333,42.25127234,3
35635,34156,0.030555556,36.6817076,3
34156,32170,0.010277778,57.77948641,4
32170,32873,0.010277778,57.77948641,2
32873,32981,0.006944444,45.38972707,3
32981,33766,0.006944444,45.38972707,2
33766,32674,0.025,30.60193295,2
32674,32027,0.025,30.60193295,2
32027,32017,0.010833333,45.39708804,1
39121,38827,0.012222222,40.23832752,9
38827,38828,0.026666667,33.3909155,5
38750,38839,0.0275,32.37906998,3
38839,1048,0.028055556,31.73789978,1
1048,36156,0.018611111,41.95045188,2
933,854,0.021388889,36.50234084,11
854,851,0.019166667,40.7344958,10
851,830,0.010555556,44.66810572,10
830,852,0.014444444,32.64207964,10
852,831,0.015277778,30.86160117,12
831,871,0.016388889,28.76928945,11
871,825,0.014444444,32.64207964,11
825,1158,0.011944444,39.47414307,1
1158,38856,0.030277778,37.94433912,2
38856,38857,0.029722222,38.65357968,10
38857,3776,0.035833333,32.06149638,4
3776,38858,0.0275,28.2604289,4
38858,39165,0.031388889,24.75913674,8
39165,39122,0.028611111,27.16293662,8
39122,38847,0.025277778,30.74486194,8
38847,37269,0.039444444,19.70269361,1
34980,33394,0.026111111,29.76364333,1
33394,34941,0.028055556,27.70081601,1
34941,35440,0.031111111,24.98020064,1
